City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
77,Tamandare,-8.7597,-35.1047,79.27,75,24,4.0,BR,few clouds
78,Kapuskasing,49.4169,-82.4331,46.49,71,100,5.75,CA,overcast clouds
79,Baranchinskiy,58.1617,59.6991,41.77,77,100,10.8,RU,light rain
80,Lazaro Cardenas,17.9583,-102.2,76.95,86,0,4.34,MX,clear sky
81,Tafuna,-14.3358,-170.72,82.35,89,40,9.22,AS,scattered clouds
82,Niepolomice,50.0407,20.2226,48.33,91,100,8.48,PL,overcast clouds
83,Amble,55.3333,-1.5833,54.36,98,100,6.91,GB,light intensity drizzle
84,Ambon,-3.6954,128.1814,83.23,12,40,4.61,ID,moderate rain
85,Anadyr,64.75,177.4833,32.5,80,0,11.18,RU,clear sky
86,Jamestown,42.097,-79.2353,51.44,77,100,4.61,US,overcast clouds
87,Serdar,38.9764,56.2757,79.92,19,0,14.79,TM,clear sky
88,Ust-Nera,64.5667,143.2,33.84,84,98,4.94,RU,overcast clouds
89,Isafjordur,66.0755,-23.124,41.04,87,100,0.0,IS,overcast clouds
90,Lihue,21.9789,-159.3672,74.79,75,40,16.11,US,light rain
91,City Of Balikpapan,-1.242,116.8942,85.95,84,20,4.61,ID,few clouds
92,Talnakh,69.4865,88.3972,13.21,82,81,0.74,RU,broken clouds
93,Parun,35.4207,70.9221,43.16,67,70,8.08,AF,broken clouds
94,Margaret River,-33.95,115.0667,62.92,59,95,14.97,AU,overcast clouds
95,Nushki,29.5542,66.0215,86.68,6,0,19.17,PK,clear sky
96,Holualoa,19.6228,-155.9522,73.24,83,100,5.75,US,light rain
97,West Island,-12.1568,96.8225,85.98,74,100,5.75,CC,overcast clouds
98,Ribeira Grande,38.5167,-28.7,63.77,100,75,14.0,PT,light intensity drizzle rain
99,Las Varas,21.1667,-105.1667,77.47,53,68,2.77,MX,broken clouds
100,Ilulissat,69.2167,-51.1,30.22,100,100,4.61,GL,overcast clouds
101,Punta Arenas,-53.15,-70.9167,46.51,71,0,21.85,CL,clear sky
102,Bengkulu,-3.8004,102.2655,80.42,74,95,13.58,ID,overcast clouds
103,Sabha,27.0377,14.4283,85.51,14,8,6.22,LY,clear sky
104,Mossel Bay,-34.1831,22.146,66.13,66,98,3.96,ZA,overcast clouds
105,Opuwo,-18.0607,13.84,76.96,31,91,4.76,NA,overcast clouds
106,Badger,64.8,-147.5333,38.8,82,20,0.0,US,few clouds
107,Sinabang,2.4803,96.3801,78.3,86,100,4.03,ID,light rain
108,Minas De Marcona,-15.2119,-75.1103,59.32,87,70,8.21,PE,broken clouds
109,Rabo De Peixe,37.8,-25.5833,63.91,94,40,14.97,PT,scattered clouds
110,Hamilton,39.1834,-84.5333,64.06,90,75,6.91,US,broken clouds
111,Aral,40.5156,81.2636,62.62,14,0,6.87,CN,clear sky
112,Boyolangu,-8.1181,111.8935,78.13,83,95,7.09,ID,overcast clouds
113,Carutapera,-1.195,-46.02,77.05,90,36,4.54,BR,scattered clouds
114,Ribnitz-Damgarten,54.25,12.4667,55.85,64,1,14.47,DE,clear sky
115,Nouadhibou,20.931,-17.0347,69.78,68,0,27.63,MR,sand
116,Lebu,-37.6167,-73.65,52.16,90,84,13.47,CL,broken clouds
117,Jawhar,2.7809,45.5005,94.62,38,7,16.82,SO,clear sky
